id_cliente,edad,departamento,plan,tipo_contrato,meses_antiguedad,cargo_mensual_soles,gb_datos_mes,minutos_llamadas_mes,lineas_adicionales,tickets_soporte_6m,caidas_servicio_mes,dias_ultimo_pago_vencido,factura_electronica,churn
CL100521,62.0,La Libertad,Prepago,Mensual,27,28.82,15.2,208,2,0,0,3,1,0
CL105842,26.0,Arequipa,Prepago,Mensual,8,21.76,9.4,487,0,1,0,0,1,0
CL102940,31.0,Lima,Postpago Premium,18 meses,21,123.21,21.6,444,0,2,1,2,1,0
CL104954,24.0,Lima,Prepago,Mensual,96,16.95,1.2,296,1,0,1,2,1,0
CL103500,45.0,Lima,Postpago Básico,Anual,21,42.58,3.4,421,1,1,3,4,0,1
CL106599,45.0,Lima,Postpago Básico,Anual,18,44.51,5.2,317,0,0,0,4,0,0
CL104702,18.0,Lima,Prepago,Mensual,5,25.1,6.6,329,0,1,1,10,1,1
CL105076,33.0,Arequipa,Postpago Básico,18 meses,32,34.74,9.2,184,0,1,2,2,1,0
CL101736,52.0,Lima,Postpago Plus,18 meses,82,79.45,16.2,219,0,1,1,7,1,0
CL101610,55.0,Piura,Prepago,Mensual,65,23.92,13.1,418,0,2,0,6,1,0
CL105443,25.0,Piura,Postpago Plus,Anual,64,59.7,17.9,253,0,3,1,4,0,0
CL105244,42.0,Áncash,Postpago Básico,Mensual,38,49.35,21.6,47,0,0,1,1,0,0
CL101229,21.0,Arequipa,Prepago,Mensual,6,27.68,36.8,387,0,1,1,5,0,1
CL105726,64.0,Cusco,Postpago Básico,18 meses,22,40.29,14.8,617,1,1,3,0,0,1
CL101836,22.0,Áncash,Prepago,Mensual,27,24.02,5.8,246,1,1,0,0,0,0
CL101190,42.0,Lima,Postpago Básico,18 meses,62,34.19,26.0,480,2,0,0,17,1,0
CL103880,28.0,Junín,Postpago Plus,Anual,49,64.13,20.9,507,0,0,1,3,1,0
CL100663,32.0,Lima,Prepago,Mensual,31,17.92,4.3,273,0,0,2,4,1,0
CL101988,48.0,Áncash,Postpago Premium,18 meses,25,132.96,17.5,435,2,1,0,0,1,0
CL101666,48.0,Lima,Postpago Plus,Mensual,44,55.64,30.4,573,0,1,1,0,0,0
CL104786,33.0,Cusco,Prepago,Mensual,1,21.25,12.8,300,1,0,1,2,1,0
CL107251,45.0,Lima,Postpago Básico,Mensual,18,47.92,8.5,347,0,0,1,3,1,1
CL100497,33.0,Áncash,Postpago Básico,Anual,24,48.89,33.5,172,0,1,1,14,0,1
CL107168,41.0,Cusco,Postpago Básico,18 meses,1,37.59,16.1,334,1,1,1,8,0,0
CL102074,40.0,Piura,Postpago Básico,Anual,94,40.25,12.6,428,2,0,2,0,1,0
CL103931,29.0,La Libertad,Postpago Básico,Mensual,24,40.49,6.1,414,0,0,0,2,1,0
CL104267,45.0,Arequipa,Postpago Plus,Mensual,8,85.69,21.9,366,2,0,2,0,0,0
CL102219,29.0,Arequipa,Prepago,Mensual,4,22.14,9.6,198,0,2,0,1,0,0
CL101801,47.0,Lima,Postpago Básico,18 meses,91,42.57,10.4,386,0,0,1,8,0,0
CL101789,47.0,Áncash,Prepago,Mensual,34,31.04,13.9,409,1,0,4,4,0,0
CL103498,32.0,Junín,Postpago Básico,Anual,9,49.83,11.7,210,0,3,0,0,1,0
CL101591,21.0,Arequipa,Prepago,Mensual,12,18.99,14.9,290,0,2,0,1,0,0
CL105573,34.0,Cusco,Postpago Plus,Anual,1,69.83,51.7,492,0,1,1,4,0,1
CL106831,47.0,Cusco,Postpago Básico,Anual,4,48.95,11.1,86,0,1,0,0,1,0
CL106746,37.0,Lima,Postpago Básico,Anual,17,53.61,9.3,537,0,0,1,15,1,0
CL101350,42.0,Lima,Postpago Plus,Mensual,12,56.54,12.9,380,0,0,2,0,1,0
CL100088,38.0,Áncash,Prepago,Mensual,6,24.81,2.6,316,1,1,1,1,1,0
CL104071,29.0,Lima,Postpago Básico,Mensual,12,34.13,4.6,300,1,1,1,0,0,0
CL101440,48.0,Lima,Prepago,Mensual,5,23.39,16.3,291,2,0,2,10,1,0
CL103967,18.0,Lima,Prepago,Mensual,44,27.69,9.1,425,1,1,2,6,0,0
CL102937,36.0,Arequipa,Prepago,Mensual,23,17.31,7.6,141,0,1,1,5,1,1
CL102120,36.0,Lima,Prepago,Mensual,21,22.62,12.7,189,0,0,2,2,1,0
CL103530,47.0,Junín,Prepago,Mensual,16,20.42,17.0,353,1,1,1,0,0,0
CL102531,24.0,Lima,Postpago Básico,Mensual,64,52.51,18.6,422,0,0,2,0,0,0
CL107158,43.0,Junín,Prepago,Mensual,6,20.56,8.4,555,0,0,0,6,1,0
CL104749,35.0,Áncash,Prepago,Mensual,11,27.23,12.6,250,0,1,1,2,1,1
CL106918,53.0,Lima,Prepago,Mensual,31,21.17,14.2,455,2,0,4,0,0,0
CL103826,57.0,Arequipa,Prepago,Mensual,27,18.02,17.7,358,0,1,3,2,1,0
CL103456,37.0,Lambayeque,Postpago Premium,Mensual,11,119.12,50.9,403,0,0,2,2,1,0
CL101330,35.0,La Libertad,Postpago Plus,Mensual,1,76.18,30.1,562,1,0,0,0,0,0
CL104419,61.0,Lima,Postpago Básico,Anual,13,54.62,14.5,441,1,0,1,8,1,0
CL101908,50.0,La Libertad,Postpago Plus,Mensual,24,70.84,9.5,401,0,0,2,1,0,0
CL103099,35.0,La Libertad,Prepago,Mensual,28,23.6,,378,1,0,0,0,1,0
CL100128,47.0,Cusco,Prepago,Mensual,12,21.29,9.8,459,0,0,2,3,0,0
CL104350,54.0,Lima,Prepago,Mensual,14,30.27,3.6,226,2,0,1,3,0,0
CL103336,47.0,Lambayeque,Postpago Básico,Mensual,27,58.54,30.7,363,0,1,3,2,1,0
CL106338,40.0,Piura,Prepago,Mensual,33,24.31,3.3,206,0,0,1,0,1,0
CL104229,48.0,Lima,Prepago,Mensual,17,22.22,10.3,350,0,1,0,0,1,0
CL105519,59.0,Lima,Postpago Básico,Anual,4,52.23,14.7,315,0,1,1,6,1,0
CL100889,38.0,Piura,Postpago Plus,Mensual,96,75.56,36.2,528,0,0,2,12,1,0
CL102782,29.0,Arequipa,Postpago Básico,Mensual,15,46.31,3.9,399,3,0,3,1,1,0
CL102005,24.0,Lima,Postpago Plus,Mensual,12,64.33,38.4,348,2,1,1,0,0,0
CL107057,38.0,Lima,Prepago,Mensual,2,24.97,3.6,168,3,0,0,1,0,0
CL103364,45.0,Arequipa,Prepago,Mensual,8,21.62,8.3,328,1,0,0,13,0,0
CL106236,47.0,Piura,Postpago Básico,Anual,25,43.29,9.6,284,0,0,1,1,0,0
CL105229,44.0,Lima,Prepago,Mensual,3,36.13,12.4,313,0,0,2,2,1,0
CL104260,69.0,La Libertad,Postpago Premium,Anual,1,54.28,27.9,584,1,0,1,3,1,0
CL107499,31.0,Áncash,Prepago,Mensual,4,28.34,12.0,465,0,0,2,1,1,0
CL103119,35.0,Lima,Prepago,Mensual,9,28.51,12.1,275,0,0,1,3,1,0
CL100739,35.0,Cusco,Postpago Básico,Mensual,4,53.78,30.2,356,0,0,0,1,1,0
CL104460,45.0,La Libertad,Postpago Básico,18 meses,66,57.02,28.2,98,0,1,1,2,1,0
CL100612,18.0,Lima,Postpago Premium,Anual,21,142.3,18.4,512,3,1,2,1,0,0
CL105605,29.0,Lima,Postpago Básico,Anual,47,35.89,5.4,367,2,0,2,1,1,0
CL103523,20.0,Lima,Postpago Básico,Mensual,4,41.74,16.8,455,0,1,1,0,1,1
CL105734,29.0,Arequipa,Prepago,Mensual,2,22.71,18.5,179,0,1,3,7,1,0
CL106482,29.0,Lambayeque,Postpago Plus,18 meses,30,73.94,2.6,574,1,0,0,3,0,0
