id_cliente,edad,departamento,plan,tipo_contrato,meses_antiguedad,cargo_mensual_soles,gb_datos_mes,minutos_llamadas_mes,lineas_adicionales,tickets_soporte_6m,caidas_servicio_mes,dias_ultimo_pago_vencido,factura_electronica,churn
CL800000,44.0,Lima,Prepago,Mensual,7,34.94,15.8,535,1,3,1,4,1,1
CL800001,59.0,Lima,Postpago Básico,Anual,9,57.94,11.8,461,2,2,2,0,1,0
CL800002,26.0,Áncash,Prepago,Mensual,11,22.79,13.2,281,0,4,4,1,1,1
CL800003,42.0,Lambayeque,Postpago Básico,18 meses,5,45.57,19.2,172,0,1,3,3,0,0
CL800004,18.0,Lima,Postpago Básico,Anual,1,59.17,7.9,213,0,4,5,0,1,0
CL800005,32.0,Lima,Prepago,Mensual,3,28.71,,370,1,1,5,2,1,1
CL800006,32.0,Lima,Postpago Básico,Mensual,2,55.13,36.3,387,1,2,2,4,1,0
CL800007,50.0,Piura,Postpago Premium,Mensual,17,139.92,27.8,266,1,3,1,4,1,0
CL800008,36.0,Lima,Postpago Básico,Anual,1,66.75,31.7,371,0,1,1,0,1,0
CL800009,34.0,Lima,Prepago,Mensual,42,23.07,,453,0,0,3,1,1,0
CL800010,61.0,Junín,Postpago Plus,Anual,5,63.15,7.4,474,0,1,1,2,1,0
CL800011,54.0,Lima,Postpago Básico,Mensual,2,57.84,23.6,545,0,1,2,0,0,0
CL800012,54.0,Lima,Prepago,Mensual,10,34.43,8.3,245,0,0,2,2,0,1
CL800013,29.0,Lima,Postpago Básico,Mensual,5,63.08,4.7,480,2,2,5,7,0,0
CL800014,41.0,Cusco,Postpago Premium,Anual,13,101.87,28.4,360,0,0,1,3,0,0
CL800015,34.0,Áncash,Postpago Básico,Mensual,3,50.85,5.6,345,0,0,1,1,1,1
CL800016,37.0,Lima,Prepago,Mensual,6,29.78,16.0,266,0,0,4,0,1,0
CL800017,38.0,Lima,Prepago,Mensual,15,33.94,8.9,325,3,1,1,7,1,0
CL800018,48.0,Piura,Postpago Plus,Anual,9,73.55,27.8,589,0,2,1,2,1,1
CL800019,49.0,Junín,Prepago,Mensual,13,28.93,21.3,297,2,1,2,1,0,0
CL800020,29.0,Arequipa,Postpago Plus,Anual,9,81.31,8.8,401,0,2,1,2,1,0
CL800021,46.0,Lima,Prepago,Mensual,15,24.96,13.1,497,0,2,3,8,0,0
CL800022,42.0,Junín,Prepago,Mensual,6,29.33,4.0,297,1,0,1,2,1,1
CL800023,58.0,Piura,Prepago,Mensual,24,22.92,22.5,354,0,0,4,0,1,0
CL800024,23.0,Piura,Postpago Plus,Mensual,2,75.22,4.8,326,0,1,2,0,1,1
CL800025,67.0,La Libertad,Postpago Básico,Mensual,11,56.71,16.3,431,1,0,1,2,1,1
CL800026,45.0,Lima,Postpago Plus,Anual,9,78.3,13.0,395,0,1,4,3,0,0
CL800027,45.0,Lima,Postpago Básico,Mensual,9,49.18,42.3,613,0,0,2,3,0,0
CL800028,44.0,Lima,Postpago Plus,18 meses,2,67.05,15.3,614,0,1,6,3,1,0
CL800029,40.0,Lima,Prepago,Mensual,12,27.06,7.7,153,2,2,4,2,1,1
CL800030,63.0,Cusco,Prepago,Mensual,40,29.84,3.6,357,2,1,0,2,1,0
CL800031,54.0,Lima,Postpago Básico,Mensual,1,53.75,16.4,628,0,1,0,14,0,0
CL800032,26.0,Lima,Prepago,Mensual,40,32.16,4.7,292,0,0,0,4,1,0
CL800033,58.0,Lima,Prepago,Mensual,2,35.71,25.4,217,0,2,4,1,1,0
CL800034,52.0,Lima,Postpago Básico,Anual,9,53.35,16.6,200,1,0,0,4,1,0
CL800035,18.0,Lima,Postpago Básico,18 meses,18,61.5,6.6,480,0,2,1,0,1,0
CL800036,57.0,Áncash,Postpago Plus,Mensual,1,98.19,20.8,432,0,1,0,3,0,0
CL800037,40.0,Cusco,Postpago Básico,18 meses,8,50.98,4.9,412,1,2,1,12,1,0
CL800038,62.0,Cusco,Postpago Básico,Mensual,4,50.69,10.4,314,1,2,2,1,1,1
CL800039,23.0,Lima,Prepago,Mensual,17,24.85,10.0,565,0,1,1,4,1,1
