id_cliente,edad,departamento,plan,tipo_contrato,meses_antiguedad,cargo_mensual_soles,gb_datos_mes,minutos_llamadas_mes,lineas_adicionales,tickets_soporte_6m,caidas_servicio_mes,dias_ultimo_pago_vencido,factura_electronica,churn
CL106497,21.0,Lima,Postpago Básico,18 meses,26,34.4,11.1,432,1,1,3,0,1,0
CL103140,33.0,Junín,Prepago,Mensual,9,22.22,7.6,215,0,2,0,1,0,0
CL106959,18.0,Lima,Postpago Premium,18 meses,29,134.87,27.0,516,0,1,3,7,1,0
CL105839,41.0,Lima,Prepago,Mensual,7,23.8,7.3,150,1,1,1,9,1,1
CL106303,24.0,Arequipa,Prepago,Mensual,13,25.84,3.9,247,1,0,1,1,0,0
CL101773,44.0,Lima,Postpago Plus,Mensual,5,74.4,30.2,350,1,1,2,5,1,0
CL101703,47.0,Lambayeque,Postpago Básico,Mensual,19,40.48,11.1,304,0,0,1,11,1,0
CL104609,49.0,Cusco,Postpago Premium,18 meses,2,124.91,12.6,645,0,1,0,0,1,0
CL101846,51.0,Lima,Prepago,Mensual,66,26.83,14.2,289,0,0,2,2,0,0
CL105565,43.0,Lima,Prepago,Mensual,4,23.22,12.5,438,2,1,1,1,0,1
CL101666,48.0,Lima,Postpago Plus,Mensual,44,55.64,30.4,573,0,1,1,0,0,0
CL105234,23.0,Áncash,Postpago Plus,Mensual,9,61.65,39.4,507,0,0,1,8,1,0
CL103335,27.0,Arequipa,Prepago,Mensual,93,22.78,8.5,550,0,0,2,15,1,0
CL103765,45.0,Junín,Postpago Plus,Anual,3,52.1,14.6,364,1,1,0,1,0,1
CL100902,18.0,Junín,Prepago,Mensual,79,23.71,9.7,300,0,1,2,5,0,1
CL107128,50.0,Lima,Postpago Plus,Anual,20,80.72,23.3,258,1,1,2,5,0,0
CL104564,49.0,Lima,Prepago,Mensual,69,23.68,1.3,430,0,0,2,2,1,0
CL100009,36.0,Lima,Postpago Básico,Mensual,28,38.7,11.0,327,1,1,0,10,0,0
CL106496,37.0,Áncash,Postpago Básico,18 meses,37,36.48,9.9,295,1,2,1,2,1,0
CL104587,21.0,La Libertad,Postpago Premium,Mensual,34,108.96,22.4,547,0,2,1,2,0,0
CL103007,18.0,La Libertad,Prepago,Mensual,20,26.8,25.8,324,1,0,1,1,1,0
CL105656,29.0,Piura,Postpago Premium,Mensual,51,93.74,34.9,380,0,0,1,4,0,0
CL104318,39.0,Lima,Postpago Plus,Mensual,38,76.26,31.0,476,0,0,3,11,0,0
CL101887,37.0,Piura,Prepago,Mensual,24,29.6,20.6,569,2,1,1,10,1,0
CL104802,28.0,La Libertad,Prepago,Mensual,41,32.62,19.3,425,1,0,2,2,0,1
CL106011,36.0,Cusco,Postpago Plus,Mensual,3,78.53,32.8,414,3,0,1,3,0,0
CL102792,74.0,Lima,Postpago Plus,Mensual,35,84.37,26.6,504,0,0,1,6,0,0
CL100160,30.0,Lima,Prepago,Mensual,1,17.65,14.7,343,0,0,2,1,1,0
CL104080,32.0,Cusco,Prepago,Mensual,19,27.39,11.0,370,0,0,1,5,0,1
